8,2,76
137,1,82
112,3,82
28,1,81
183,2,91
27,2,87
41,2,88
49,1,78
191,2,72
1,2,86
12,2,85
41,3,82
90,1,71
41,1,90
188,2,72
191,1,97
53,3,87
108,2,88
186,3,83
147,1,89
15,1,78
49,2,78
57,3,88
145,1,85
159,1,89
163,2,83
125,1,91
137,1,88
92,3,89
100,3,82
33,2,83
34,1,90
99,3,86
75,3,87
22,2,77
33,1,83
78,3,78
179,2,82
182,1,87
174,2,79
54,2,90
191,3,77
173,3,85
85,3,79
119,3,95
144,2,78
93,1,92
24,3,86
193,1,88
31,1,74
101,1,78
130,3,90
148,2,83
116,1,80
14,2,80
21,2,86
153,3,94
63,2,85
111,2,93
128,2,81
44,1,87
134,1,77
79,2,87
8,3,87
52,1,82
121,2,94
9,2,78
180,1,91
177,1,81
101,1,87
44,2,97
94,2,75
140,3,80
193,2,78
179,2,93
10,1,96
81,3,90
164,1,80
84,2,87
108,2,73
136,1,90
111,2,89
197,3,87
192,1,77
175,3,86
101,2,82
126,3,80
92,2,86
89,1,88
102,1,89
100,2,85
55,1,88
154,1,86
101,2,83
6,1,86
199,1,87
58,2,84
124,1,88
77,3,81
30,3,88
77,2,82
12,1,82
108,3,83
40,3,65
151,2,80
1,3,92
149,1,85
40,3,82
143,1,82
34,1,79
32,2,87
33,2,86
80,2,89
179,1,83
28,3,84
41,1,82
165,1,80
54,1,88
68,2,82
171,1,86
113,2,76
27,2,89
14,3,85
86,2,92
199,3,87
89,2,84
166,3,94
49,3,89
128,1,85
152,3,94
103,2,80
45,2,75
68,1,80
171,2,88
62,2,90
140,2,87
87,1,84
168,2,87
172,3,84
91,1,90
2,3,86
159,3,85
61,3,74
200,1,84
32,3,86
184,2,80
176,1,87
173,1,89
25,2,87
36,2,90
93,2,77
83,2,81
32,2,94
133,1,86
124,1,86
155,1,94
7,3,81
72,2,80
57,3,92
80,3,84
7,1,83
66,3,84
111,3,88
71,1,90
107,3,89
86,1,81
78,1,87
190,1,79
158,2,89
41,2,81
104,2,80
4,1,83
60,1,84
108,3,85
97,2,96
67,2,86
177,2,92
55,3,88
6,1,87
173,1,89
68,2,88
107,2,89
100,1,86
179,3,85
25,3,88
115,3,83
30,2,81
10,1,85
163,1,84
120,3,94
103,1,83
19,3,84
40,1,72
137,3,85
191,1,91
158,1,83
129,1,93
7,1,85
39,2,88
35,2,81
85,3,85
111,1,83
163,2,87
102,2,91
141,3,83
173,1,78
76,2,88
133,1,85
167,1,87
87,2,80
166,2,83
68,1,79
174,3,87
62,1,95
129,3,86
42,3,79
23,1,78
138,3,85
160,2,84
158,2,91
70,1,78
40,2,88
48,1,83
92,3,87
49,1,83
106,3,82
123,2,85
60,2,85
73,2,82
23,3,86
104,3,89
40,3,84
65,1,80
114,3,84
29,2,88
31,3,88
11,1,80
123,1,93
141,3,84
59,1,88
56,2,93
90,2,81
139,2,87
164,1,83
88,1,74
66,2,90
65,1,86
109,1,80
67,1,79
41,1,84
130,3,96
153,2,88
126,1,89
110,1,86
144,3,87
22,3,80
144,1,81
119,3,86
158,1,92
144,1,90
200,1,85
67,3,86
104,1,77
118,1,84
2,3,87
180,2,92
37,2,88
36,1,87
69,1,89
102,1,79
47,2,86
85,1,90
107,1,84
29,2,82
147,1,80
108,2,78
9,1,78
93,1,76
85,3,86
173,1,88
164,3,94
118,1,81
100,1,79
19,3,83
120,1,78
143,3,88
94,3,82
185,3,90
57,1,90
74,1,79
136,2,81
49,1,86
18,2,88
163,2,88
182,2,86
124,2,88
141,3,91
54,2,89
50,3,91
57,3,85
197,3,85
115,3,89
122,3,80
122,1,83
67,2,87
156,2,91
67,2,82
137,1,87
22,2,79
134,3,84
139,1,88
186,1,84
84,2,87
31,1,79
112,1,90
59,3,80
77,1,91
160,2,86
85,3,86
88,3,88
116,1,91
193,1,93
3,3,86
145,2,86
37,1,79
96,1,75
165,3,92
61,2,85
74,3,89
113,3,83
189,2,82
167,1,78
152,1,97
37,3,76
167,1,92
140,2,79
59,3,91
110,2,87
111,1,85
9,1,77
26,1,84
175,2,87
159,3,92
151,2,89
72,3,85
144,1,86
111,3,79
128,3,81
69,1,85
139,1,95
86,1,83
197,3,85
78,3,87
4,3,93
197,3,83
128,3,79
35,3,83
175,2,91
131,2,88
10,3,86
63,3,84
180,3,87
85,1,80
15,3,82
132,1,87
176,1,81
191,2,84
115,1,86
200,1,83
167,1,87
154,1,84
200,2,89
